Id,Razão Social,Cidade,Estado
1,ORCATRANS -LTDA., Contagem , MG 
2,IDEAL -EXPRESSO, Alfenas , MG 
3,ALVINÓPOLIS -TRANSPORTADORA, Alvinópolis , MG 
4,MONTINA -TRANSPORTES, Araguari , MG 
5,GRANÇUCAR -TRANSPORTES LTDA., Araxá , MG 
6,MINAX -TRANSPORTES, Araxá , MG 
7,REDUZINO -TRANSPORTES, Araxá , MG 
8,FONTANELLA -TRANSPORTES, Arcos , MG 
9,DANAPA -TRANSPORTE LTDA., Avras , MG 
10,ZARGO -TRANSPORTES LTDA., Baependi , MG 
11,SB TRANS -TRANSP. BARROSO, Barroso , MG 
12,TRANSIMÃO -TRANSPORT.SIMÃO LTDA., Belo Horizonte , MG 
13,BH MINAS -TRANSPORTADORA LTDA., Belo Horizonte , MG 
14,ULTRAPRESS -CARGAS LTDA., Belo Horizonte , MG 
15,TAURUS -TRANSPORTES LTDA., Belo Horizonte , MG 
16,CRISTO REY -TRANSPORTES, Belo Horizonte , MG 
17,CENTRO OESTE MINEIRO -EXP., Belo Horizonte , MG 
18,NOVA CAPITAL -TRANSPORTES LTDA., Belo Horizonte , MG 
19,LASTRO -TRANSPORTES LTDA., Belo Horizonte , MG 
20,METRÓPOLE -TRANSPORTES, Belo Horizonte , MG 
21,RODOBAN -TRANSPORTES, Belo Horizonte , MG 
22,SANTA MARIA -EMPRESA LTDA., Belo Horizonte , MG 
23,CEVA -LOGÍSTICS, Belo Horizonte , MG 
24,SOLAR -TRANSPORTADORA, Belo Horizonte , MG 
25,TRI-JAY -TRANSPORTES ADUANEIROS, Belo Horizonte , MG 
26,VIPEX -EXPRESS, Belo Horizonte , MG 
27,TRANSAÉREO -TRANSPORTES, Belo Horizonte , MG 
28,TOPTRAN -TRANSPORTES ESPECIAIS, Belo Horizonte , MG 
29,TRANSCOTA -LOGÍSTICA E TRANSPORTES, Belo Horizonte , MG 
30,ALMEIDA -EXPRESSO, Belo Horizonte , MG 
31,VERA CRUZ -EXPRESSO LTDA., Belo Horizonte , MG 
32,TRANSWELL'S -EXP.RODOV.LTDA., Belo Horizonte , MG 
33,MG -CARGAS LTDA., Belo Horizonte , MG 
34,TRANSNORTE -CARGAS ENC.LTDA., Belo Horizonte , MG 
35,CENTRAL -TRANSPORTES E REPRES.LTDA., Belo Horizonte , MG 
36,JL -TRANSPORTES LTDA., Belo Horizonte , MG 
37,EMTEL -TRANSPORTES, Belo Horizonte , MG 
38,INTERLOG -DISTRIBUIÇÃO, Belo Horizonte , MG 
39,VELOZ CARGAS -TRANSP.LOGÍSTICA, Belo Horizonte , MG 
40,WG -COMEX & CARGO, Belo Horizonte , MG 
41,SETELAGOANO -EXPRESSO LTDA., Belo Horizonte , MG 
42,LEGAL -TRANSPORTADORA LTDA., Belo Horizonte , MG 
