cd_cnpj,nm_razao_social
00007274000102,DS TRANSPORTES EIRELI
00012856000110,SERTRAZA TRANSPORTES LTDA
00019162000171,DJB LOGISTICA LTDA
00019209000105,DECAPRI TRANSPORTES LTDA
00026368000129,TASSO TRANSPORTES LTDA
00088303000108,CTIL TRANSPORTES LTDA
00091369000157,MILENIUM TRANSPORTES LTDA
00164530000175,ANPA TRANSPORTES LTDA
00264268000130,GERMANY TRANSPORTES EIRELI
00282792000189,TEKE TRANSPORTES LTDA
00293006000102,SOLECARGAS TRANSPORTES LTDA
00316037000123,UNILESTE TRANSPORTES LTDA
00408186000112,MERCAM TRANSPORTES LTDA
00418413000190,OPTRANS TRANSPORTES LTDA
00441711000100,BRASIL REAL TRANSPORTES LTDA
00551745000149,CH TRANSPORTES EIRELI
00650831000109,EFITRANS TRANSPORTES LTDA
00682011000107,QUEFIRA TRANSPORTADORA LTDA
00699880000136,FOZ EXPRESS LTDA
00716751000109,DI LEONE TRANSPORTES LTDA
00755400000107,WANCARGO CARGAS AEREAS LTDA
00894388000111,SANTIAGO TRANSPORTES LTDA
00930246000178,AVS AIR CARGO LTDA
00941293000101,SAO JOAQUIM TRANSPORTES LTDA
01033081000199,IUGAS MUDANCAS E TRANSPORTES LTDA
01064508000116,TRANSCOMAP TRANSPORTES LTDA
01067342000191,AGUAMAR TRANSPORTES LTDA
01093925050197,TRANSVACARI TRANSPORTES LTDA
01101538000155,SUL ATLANTICO BRASIL TRANSPORTES LTDA
01107327000120,BBM LOGISTICA SA
01136729000152,ASTRA ABC COMERCIAL LTDA
01142882000192,VERISSIMO LOGISTICA EIRELI
01143453000130,RTA TRANSPORTES LTDA
01215301000186,RODOANI TRANSPORTES LTDA
01354159000177,SHS TRANSPORTES LTDA
01385726000152,TESTA TRANSPORTES LTDA
01403213000127,BRUNDELL TRANSPORTES LTDA
01428559000180,BPA TRANSPORTES LTDA
01432710000153,TRANSFIRA CORRETORA DE SEGUROS LTDA
01459216000182,CANDIMAR TRANSPORTES LTDA
01496988000194,TRADE EXPRESS CARGO SERVICE LTDA
01586902000114,JS NOGUEIRA TRANSPORTES LTDA
01592543000108,JLIFE TRANSPORTES LTDA
01610798000156,TECMAR TRANSPORTES LTDA
164314253000130,DELTA CARGO LTDA
01661770000148,AMAZON TRANSPORTES LTDA
01679681000129,HAMBURGO CARGAS LTDA
01707649000100,NEW LEST TRANSPORTES LTDA
01743404000138,FAVORITA TRANSPORTES LTDA
01780589000150,RADAR TRANSPORTES LTDA
01786964000170,CASFRE TRANSPORTES LTDA
01816467000177,PENA EXPRESS TRANSPORTES LTDA
01889601000160,PORTO FRADE TRANSPORTES LTDA
01894836000140,FEDAG TRANSPORTES LTDA
01921146000132,QUELMAR TRANSPORTES LTDA
01924667000143,MC TRANSPORTES LTDA
01937440000132,TRANSPANORAMA TRANSPORTES LTDA
01976490000129,GMB LOGISTICA LTDA
02003039000198,AM SUL TRANSPORTES LTDA
02037449000150,CASSIEL TRANSPORTES LTDA
98044529007132,ORLANDIA TRANSPORTES LTDA
02075309000176,ORCATRANS LTDA
02124370000166,TRANSNNAN TRANSPORTES EIRELI
02251094000105,GRECCO LOGISTICA LTDA
02259840000107,LEOFRAN TRANSPORTES LTDA
02274933000100,VECTORCORP ARMAZENAGEM E LOGISTICA LTDA
02282848000186,FREEDEX COURIER EIRELI
02286322000174,AMEX SUL TRANSPORTES LTDA
02317708000104,QUASAR TRANSPORTE E LOGISTICA LTDA
02343801000185,SUDOESTE TRANSPORTES EIRELI
02351144000118,TEGMA GESTAO LOGISTICA SA
02354112000176,GLA TRANSPORTES LTDA
